dose_bins,coverage
0.06943,0.065
0.06988,0.062
0.07033,0.055
0.07079,0.052
0.07124,0.048
0.07169,0.039
0.07214,0.039
0.07259,0.035
0.07304,0.033
0.07349,0.033
0.07394,0.033
0.07439,0.032
0.07484,0.028
0.07529,0.028
0.07574,0.023
0.0762,0.018
0.07665,0.018
0.0771,0.016
0.07755,0.014
0.078,0.014
0.07845,0.014
0.0789,0.014
0.07935,0.011
0.0798,0.011
0.08025,0.011
0.0807,0.011
0.08116,0.009
0.08161,0.009
0.08206,0.009
0.08251,0.009
0.08296,0.006
0.08341,0.005
0.08386,0.003
0.08431,0.003
0.08476,0.003
0.08521,0.003
0.08566,0.001
0.08611,0.001
0.08657,0.001
0.08702,0.001
0.08747,0.001
0.08792,0
0.08837,0
0.08882,0
0.08927,0
0.08972,0
0.09017,0
0.09017,0
