dose_bins,coverage
0.26345,0.007
0.26508,0.006
0.2667,0.005
0.26833,0.005
0.26995,0.004
0.27158,0.004
0.27321,0.004
0.27483,0.003
0.27646,0.003
0.27809,0.003
0.27971,0.003
0.28134,0.003
0.28296,0.003
0.28459,0.002
0.28622,0.002
0.28784,0.002
0.28947,0.001
0.2911,0.001
0.29272,0.001
0.29435,0.001
0.29597,0.001
0.2976,0.001
0.29923,0
0.30085,0
0.30248,0
0.30411,0
0.30573,0
0.30736,0
0.30898,0
0.31061,0
0.31224,0
0.31386,0
0.31549,0
0.31711,0
0.31874,0
0.32037,0
0.32199,0
0.32362,0
0.32525,0
0.32525,0
