dose_bins,coverage
29.19376,0.213
29.36059,0.199
29.52741,0.191
29.69423,0.183
29.86105,0.181
30.02787,0.173
30.19469,0.172
30.36151,0.17
30.52834,0.165
30.69516,0.164
30.86198,0.158
31.0288,0.158
31.19562,0.158
31.36244,0.156
31.52927,0.155
31.69609,0.151
31.86291,0.151
32.02973,0.151
32.19655,0.147
32.36337,0.143
32.53019,0.136
32.69702,0.121
32.86384,0.079
33.03066,0.039
33.19748,0.009
33.3643,0
33.3643,0
